Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position
Aatrox,Top,0.4749,0.0087,0.0024,64.67,5.45,5.61,6.09,2.7,19042,30967,14679,190,4.72,7.33,12466,44
Ahri,Middle,0.5309,0.137,0.0124,58.09,6.99,5.31,7.78,3.49,23457,18861,3701,176.2,1.84,6.31,12394,3
Akali,Top,0.5003,0.0202,0.0115,48.14,7.36,6.31,6.41,3.41,20897,31450,4146,182.3,2.88,5.14,12592,20
Alistar,Support,0.4926,0.1466,0.0289,35.29,1.41,4.94,13.61,0.5,6971,27590,8839,43.3,0.2,0.26,9388,8
Amumu,Jungle,0.5389,0.0731,0.017,38.11,5.18,5.12,11.17,2.64,16857,30701,6515,44.1,8.07,66.75,11905,8
Anivia,Middle,0.523,0.037,0.0044,68.84,6.75,4.63,7.32,3.73,23693,24221,7823,185.8,2.72,10.49,12749,4
Annie,Middle,0.5152,0.0585,0.013,50.52,7.37,6.07,7.17,3.44,22198,18649,1741,166.8,1.38,4.85,12137,12
Ashe,ADC,0.5284,0.0426,0.0023,29.32,6.49,6.1,8.42,3.04,21793,18257,2738,190.9,2.65,8,12810,13
Aurelion Sol,Middle,0.5069,0.033,0.2529,2.48,7.25,7,8.86,3.31,23584,25242,2576,164.2,2.13,7.37,12212,11
Azir,Middle,0.4897,0.079,0.0165,51.01,6.16,6.02,6.9,2.95,24722,19618,2213,193.7,2.19,10.24,12545,14
Bard,Support,0.488,0.0978,0.0046,39.32,2.54,5.8,13.19,1.06,11974,19244,5012,22.6,0.33,0.34,10084,10
Blitzcrank,Support,0.5264,0.132,0.0281,51.16,2.29,5.74,12.58,0.91,10211,24085,3016,42.5,0.38,0.33,9799,7
Brand,Middle,0.503,0.0276,0.0077,38.86,7.16,6.27,7.92,3.26,26964,19764,1976,156.1,1.51,6.49,12163,24
Braum,Support,0.5111,0.1761,0.0191,49.79,1.35,5.11,14.12,0.47,7889,25021,3353,43.2,0.2,0.16,9474,2
Caitlyn,ADC,0.4938,0.1404,0.0037,38.11,6.13,5.86,7.17,2.93,23087,18721,2613,202.4,2.4,7.85,12840,10
Cassiopeia,Middle,0.4621,0.0106,0.0012,48.97,6.78,6.61,6.2,3.01,22794,20962,4394,172.4,2.26,9.3,12242,45
Cho'Gath,Top,0.4965,0.0338,0.0145,38.61,5.63,5.05,6.15,3,19146,32736,8429,196.7,2.79,5.79,12476,16
Corki,ADC,0.5118,0.0653,0.0347,26.15,7.57,5.58,7.7,3.7,25180,20993,3354,196.4,2.7,8.62,13190,4
Darius,Top,0.4951,0.0984,0.1567,42.21,6.78,6.34,5.56,3.18,20017,34067,5679,184.2,1.81,3.19,12257,14
Diana,Jungle,0.4986,0.0254,0.0342,57.13,7.61,6.02,7.76,3.61,19825,23016,4378,59.2,10.13,71.56,12883,15
Dr. Mundo,Top,0.5072,0.0333,0.0739,14.79,4.84,5.07,7.57,2.51,22497,37294,11288,191.6,2.3,3.27,12201,6
Draven,ADC,0.4917,0.0492,0.0017,88.22,7.19,6.2,6.45,3.28,22325,20400,2492,191.3,2.83,8.17,13763,15
Ekko,Jungle,0.5044,0.0571,0.0242,38.04,6.96,5.43,8.98,3.46,17937,31488,8680,52.4,8.06,60.68,12201,13
Elise,Jungle,0.4787,0.0674,0.0135,36.27,6.39,5.72,8.38,3.05,17117,25618,7301,39.7,9.22,60.55,11799,40
Evelynn,Jungle,0.4903,0.0229,0.0025,88.29,7.5,5.77,8.98,3.62,19051,27962,6346,42.2,9.13,60.55,12095,27
Ezreal,ADC,0.5111,0.267,0.0204,35.25,7.13,5.08,8.26,3.62,26230,18208,3038,193.1,2.44,6.9,12951,3
Fiddlesticks,Jungle,0.5111,0.0138,0.0008,164.7,5.72,5.67,9.31,2.86,17802,29833,17157,42.9,7.48,67.18,11854,33
Fiora,Top,0.4579,0.0591,0.2511,28.6,5.88,6.19,5.47,2.74,19087,31558,7920,184.8,2.4,4.67,12152,30
Fizz,Middle,0.5086,0.0799,0.0562,50.39,9.4,6.62,5.87,4.09,20418,20875,1905,144.7,1.85,6.92,12317,16
