Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,FirstItemName,FirstItemPercent,SecondItemName,SecondItemPercent,ThirdItemName,ThirdItemPercent,FourthItemName,FourthItemPercent,FifthItemName,FifthItemPercent,SixthItemName,SixthItemPercent,SeventhItemName,SeventhItemPercent
Aatrox,Top,0.4749,0.0087,0.0024,64.67,5.45,5.61,6.09,2.7,19042,30967,14679,190,4.72,7.33,12466,44,Blade of the Ruined King,20,Long Sword,10,Boots of Swiftness,10,Dagger,10,Phage,10,Black Cleaver,10,Other,
Ahri,Middle,0.5309,0.137,0.0124,58.09,6.99,5.31,7.78,3.49,23457,18861,3701,176.2,1.84,6.31,12394,3,Doran's Ring,16.67,Morellonomicon,16.67,Sorcerer's Shoes,16.67,Void Staff,11.11,Needlessly Large Rod,11.11,Zhonya's Hourglass,5.56,Other,
Akali,Top,0.5003,0.0202,0.0115,48.14,7.36,6.31,6.41,3.41,20897,31450,4146,182.3,2.88,5.14,12592,20,Doran's Ring,18,Spell Tome,16,Sorcerer's Shoes,12,Rabadon's Deathcap,10,Blasting Wand,10,Faerie Charm,5,Other,
Alistar,Support,0.4926,0.1466,0.0289,35.29,1.41,4.94,13.61,0.5,6971,27590,8839,43.3,0.2,0.26,9388,8,Eye of the Equinox,18.75,Locket of the Iron Solari,14.58,Boots of Swiftness,10.42,Enchantment:Distortion,8.33,Ruby Crystal,6.25,Cloth Armor,6.25,Other,
Amumu,Jungle,0.5389,0.0731,0.017,38.11,5.18,5.12,11.17,2.64,16857,30701,6515,44.1,8.07,66.75,11905,8,Doran's Ring,18,Spell Tome,16,Sorcerer's Shoes,12,Rabadon's Deathcap,10,Blasting Wand,10,Faerie Charm,5,Other,
Anivia,Middle,0.523,0.037,0.0044,68.84,6.75,4.63,7.32,3.73,23693,24221,7823,185.8,2.72,10.49,12749,4,Doran's Ring,18,Spell Tome,16,Sorcerer's Shoes,12,Rabadon's Deathcap,10,Blasting Wand,10,Faerie Charm,5,Other,
Annie,Middle,0.5152,0.0585,0.013,50.52,7.37,6.07,7.17,3.44,22198,18649,1741,166.8,1.38,4.85,12137,12,Rod of Ages,20,Sorcerer's Shoes,20,Void Staff,10,Doran's Ring,10,Rabadon's Deathcap,10,Luden's Echo,10,Other,
Ashe,ADC,0.5284,0.0426,0.0023,29.32,6.49,6.1,8.42,3.04,21793,18257,2738,190.9,2.65,8,12810,13,Essence Reaver,12.5,Quicksilver Sash,12.5,B. F. Sword,8.33,Infinity Edge,8.33,Runann's Hurricane,8.33,Boots of Swiftness,8.33,Other,
Aurelion Sol,Middle,0.5069,0.033,0.2529,2.48,7.25,7,8.86,3.31,23584,25242,2576,164.2,2.13,7.37,12212,11,Doran's Ring,25,Rod of Ages,16.67,Boots of Swiftness,16.67,Rylai's Crystal Scepter,16.67,Void Staff,8.33,Seeker's Armguard,8.33,Other,
Azir,Middle,0.4897,0.079,0.0165,51.01,6.16,6.02,6.9,2.95,24722,19618,2213,193.7,2.19,10.24,12545,14,Nashor's Tooth,17.57,Doran's Ring,14.86,Rylai's Crystal Scepter,13.51,Sorcerer's Shoes,9.46,Blasting Wand,6.67,Needlessly Large Rod,5.41,Other,
Bard,Support,0.488,0.0978,0.0046,39.32,2.54,5.8,13.19,1.06,11974,19244,5012,22.6,0.33,0.34,10084,10,Eye of the Watchers,12.96,Locket of the Iron Solari,9.26,Ionian Boots of Lucidity,9.26,Frost Queen's Claim,7.41,Sightstone,5.56,Glacial Shroud,5.56,Other,
